Scenario,Period,LoadLevel,Coal,ESS,Gas,Nuclear,Oil,RES
sc01,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,15.31635566874973,771.5999999999999,0.0,241.19131875
sc01,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,14.352170903749998,771.5999999999999,0.0,109.23253125
sc01,y2030,2030-01-01T11:00:00+01:00,0.0,40.584812205751696,15.5970984062466,771.5999999999999,0.0,108.04399374999998
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,86.6074409872489,771.5999999999999,0.0,142.57796875000003
sc01,y2030,2030-01-01T19:00:00+01:00,2.15444904135309e-15,0.0,262.98880318174906,771.5999999999999,0.0,78.91083750000001
sc01,y2030,2030-01-01T23:00:00+01:00,2.15444904135309e-15,0.0,170.377482131748,771.5999999999999,0.0,82.95360625
sc01,y2030,2030-01-02T03:00:00+01:00,2.15444904135309e-15,0.0,54.651863609750606,771.5999999999999,0.0,75.2555
sc01,y2030,2030-01-02T07:00:00+01:00,2.15444904135309e-15,0.0,221.73292491775402,771.5999999999999,0.0,76.504
sc01,y2030,2030-01-02T11:00:00+01:00,5.3861226033827195e-15,0.0,411.9015114530095,771.5999999999999,0.0,95.99250624999999
sc01,y2030,2030-01-02T15:00:00+01:00,5.3861226033827195e-15,0.0,422.7127498172545,771.5999999999999,0.0,102.90780625000001
sc01,y2030,2030-01-02T19:00:00+01:00,5.3861226033827195e-15,0.0,526.2207049065155,771.5999999999999,0.0,54.92075000000001
sc01,y2030,2030-01-02T23:00:00+01:00,5.3861226033827195e-15,0.0,344.9513550960076,771.5999999999999,0.0,46.52755
sc01,y2030,2030-01-03T03:00:00+01:00,2.15444904135309e-15,0.0,183.65450813625267,771.5999999999999,0.0,53.13991875
sc01,y2030,2030-01-03T07:00:00+01:00,5.3861226033827195e-15,0.0,322.1882865735178,771.5999999999999,0.0,73.24310625
sc01,y2030,2030-01-03T11:00:00+01:00,5.3861226033827195e-15,0.0,458.7148195495105,771.5999999999999,0.0,119.77215000000001
sc01,y2030,2030-01-03T15:00:00+01:00,5.3861226033827195e-15,0.0,420.20698948552655,771.5999999999999,0.0,154.1237875
sc01,y2030,2030-01-03T19:00:00+01:00,5.3861226033827195e-15,0.0,498.4567781742725,771.5999999999999,0.0,123.97469375
sc01,y2030,2030-01-03T23:00:00+01:00,2.15444904135309e-15,0.0,287.1438145002485,771.5999999999999,0.0,127.41519374999999
sc01,y2030,2030-01-04T03:00:00+01:00,2.15444904135309e-15,101.0302489795,21.7171488587507,771.5999999999999,0.0,127.09355
sc01,y2030,2030-01-04T07:00:00+01:00,2.15444904135309e-15,0.0,278.89223886950066,771.5999999999999,0.0,129.16320000000002
sc01,y2030,2030-01-04T11:00:00+01:00,5.3861226033827195e-15,0.0,441.7136492240185,771.5999999999999,0.0,147.04855
sc01,y2030,2030-01-04T15:00:00+01:00,5.3861226033827195e-15,0.0,419.98086089951755,771.5999999999999,0.0,161.95662499999992
sc01,y2030,2030-01-04T19:00:00+01:00,5.3861226033827195e-15,0.0,523.0650416647765,771.5999999999999,0.0,99.1430437499999
sc01,y2030,2030-01-04T23:00:00+01:00,5.3861226033827195e-15,0.0,344.4222778705261,771.5999999999999,0.0,71.08632499999989
sc01,y2030,2030-01-05T03:00:00+01:00,2.15444904135309e-15,0.0,222.9437892470037,771.5999999999999,0.0,31.056949999999897
sc01,y2030,2030-01-05T07:00:00+01:00,5.3861226033827195e-15,0.0,379.22555239150745,771.5999999999999,0.0,29.0787562499999
sc01,y2030,2030-01-05T11:00:00+01:00,5.3861226033827195e-15,0.0,515.4536917160018,771.5999999999999,0.0,67.6053
sc01,y2030,2030-01-05T15:00:00+01:00,5.3861226033827195e-15,0.0,460.4840953904965,771.5999999999999,0.0,96.45238749999999
sc01,y2030,2030-01-05T19:00:00+01:00,5.3861226033827195e-15,0.0,534.2698267525135,771.5999999999999,0.0,49.341631250000006
sc01,y2030,2030-01-05T23:00:00+01:00,5.3861226033827195e-15,0.0,339.64788844951784,771.5999999999999,0.0,46.1634125
sc01,y2030,2030-01-06T03:00:00+01:00,2.15444904135309e-15,0.0,144.96480830325072,771.5999999999999,0.0,67.87061875
sc01,y2030,2030-01-06T07:00:00+01:00,2.15444904135309e-15,0.0,136.8480123720007,771.5999999999999,0.0,82.1874
sc01,y2030,2030-01-06T11:00:00+01:00,2.15444904135309e-15,0.0,278.03267603150067,771.5999999999999,0.0,91.7813499999999
sc01,y2030,2030-01-06T15:00:00+01:00,2.15444904135309e-15,0.0,276.1264883240026,771.5999999999999,0.0,94.7411687499999
sc01,y2030,2030-01-06T19:00:00+01:00,5.3861226033827195e-15,0.0,399.24305780050156,771.5999999999999,0.0,49.89261249999994
sc01,y2030,2030-01-06T23:00:00+01:00,2.15444904135309e-15,0.0,249.3135968407527,771.5999999999999,0.0,62.7227874999999
sc01,y2030,2030-01-07T03:00:00+01:00,2.15444904135309e-15,0.0,113.96107032450149,771.5999999999999,0.0,42.3550249999999
sc01,y2030,2030-01-07T07:00:00+01:00,2.15444904135309e-15,0.0,127.8926662555037,771.5999999999999,0.0,17.864762499999898
sc01,y2030,2030-01-07T11:00:00+01:00,2.15444904135309e-15,0.0,250.5552326025008,771.5999999999999,0.0,40.934818749999906
sc01,y2030,2030-01-07T15:00:00+01:00,2.15444904135309e-15,0.0,256.4189651165017,771.5999999999999,0.0,61.05551874999994
sc01,y2030,2030-01-07T19:00:00+01:00,5.3861226033827195e-15,0.264136987699237,409.2750678968015,771.5999999999999,0.0,22.327037499999932
sc01,y2030,2030-01-07T23:00:00+01:00,2.15444904135309e-15,0.0,287.4783107227543,771.5999999999999,0.0,19.9716562499999
sc01,y2030,2030-01-08T03:00:00+01:00,2.15444904135309e-15,0.0,149.5739304032507,771.5999999999999,0.0,31.938843749999897
sc01,y2030,2030-01-08T07:00:00+01:00,5.3861226033827195e-15,0.0,374.28907050549776,771.5999999999999,0.0,46.528918749999896
sc01,y2030,2030-01-08T11:00:00+01:00,5.3861226033827195e-15,0.0,529.4065033710065,771.5999999999999,0.0,75.2622312499999
